ID_Imovel,Tipo_Imovel,Cidade,Bairro,Area_m2,Num_Quartos,Num_Banheiros,Aluguel_Mensal,Disponivel
IMV-0116,Apartamento,Belo Horizonte,Zona Oeste,239,1,2,1281.17,Sim
IMV-0117,Casa,Salvador,Zona Leste,123,4,1,3615.23,Não
IMV-0118,Casa,São Paulo,Zona Leste,66,4,1,1518.64,Sim
IMV-0119,Estúdio,Rio de Janeiro,Zona Oeste,72,4,2,4545.45,Não
IMV-0120,Estúdio,Porto Alegre,Zona Norte,107,2,1,1201.84,Sim
IMV-0121,Casa,Salvador,Centro,69,3,1,4502.33,Não
IMV-0122,Estúdio,Belo Horizonte,Zona Leste,264,4,1,3670.45,Sim
IMV-0123,Estúdio,Belo Horizonte,Zona Oeste,285,1,2,1253.44,Não
IMV-0124,Estúdio,Salvador,Zona Leste,80,3,2,2173.04,Sim
IMV-0125,Casa,Rio de Janeiro,Zona Norte,46,4,1,1729.05,Não
IMV-0126,Apartamento,Belo Horizonte,Centro,129,2,2,1756.3,Não
IMV-0127,Estúdio,São Paulo,Centro,83,3,2,2181.27,Sim
IMV-0128,Estúdio,Rio de Janeiro,Zona Norte,165,1,2,4428.06,Não
IMV-0129,Casa,Belo Horizonte,Zona Oeste,243,3,1,1013.51,Sim
IMV-0130,Casa,Salvador,Zona Oeste,109,3,1,3368.28,Sim
IMV-0131,Apartamento,São Paulo,Zona Leste,132,1,2,3298.49,Sim
IMV-0132,Casa,Salvador,Zona Sul,230,4,1,3172.79,Não
IMV-0133,Casa,São Paulo,Centro,67,1,2,4361.18,Não
IMV-0134,Estúdio,Belo Horizonte,Zona Leste,65,3,1,3718.49,Sim
IMV-0135,Estúdio,Porto Alegre,Zona Oeste,295,2,2,2187.52,Não
IMV-0136,Estúdio,Porto Alegre,Zona Sul,77,1,1,4927.84,Sim
IMV-0137,Apartamento,Porto Alegre,Zona Leste,278,3,2,3658.81,Sim
IMV-0138,Casa,São Paulo,Zona Oeste,204,4,1,4391.32,Não
IMV-0139,Estúdio,São Paulo,Zona Leste,70,1,1,1982.63,Não
IMV-0140,Apartamento,Porto Alegre,Zona Oeste,168,2,2,1890.22,Não
IMV-0141,Estúdio,Porto Alegre,Zona Norte,277,1,1,4421.63,Sim
IMV-0142,Casa,Porto Alegre,Centro,113,4,1,2791.3,Não
IMV-0143,Apartamento,Rio de Janeiro,Zona Oeste,98,2,2,2984.05,Sim
IMV-0144,Apartamento,Salvador,Centro,288,1,2,2846.8,Sim
IMV-0145,Estúdio,Porto Alegre,Zona Leste,200,3,1,674.15,Sim
IMV-0146,Casa,São Paulo,Zona Sul,272,2,1,1498.41,Sim
IMV-0147,Estúdio,São Paulo,Zona Sul,35,4,1,967.6,Sim
IMV-0148,Apartamento,Belo Horizonte,Zona Leste,251,4,1,877.8,Não
IMV-0149,Casa,Belo Horizonte,Zona Sul,298,4,1,2161.87,Não
IMV-0150,Estúdio,Porto Alegre,Zona Norte,277,4,1,752.93,Sim
IMV-0151,Estúdio,Salvador,Zona Oeste,71,2,2,3549.62,Não
IMV-0152,Apartamento,Salvador,Zona Oeste,136,1,2,1540.34,Sim
IMV-0153,Apartamento,Rio de Janeiro,Zona Norte,104,2,2,987.48,Não
IMV-0154,Estúdio,São Paulo,Zona Oeste,95,4,2,3255.62,Não
IMV-0155,Estúdio,Porto Alegre,Zona Sul,115,2,1,4555.41,Não
IMV-0156,Apartamento,Belo Horizonte,Centro,116,1,1,1480.45,Não
IMV-0157,Casa,Salvador,Zona Leste,215,4,2,4773.31,Sim
IMV-0158,Apartamento,São Paulo,Zona Leste,153,1,2,3709.46,Sim
IMV-0159,Casa,Salvador,Zona Sul,237,4,1,4611.69,Não
IMV-0160,Estúdio,Belo Horizonte,Centro,201,1,1,960.21,Sim
IMV-0161,Estúdio,Porto Alegre,Centro,173,1,1,719.91,Sim
IMV-0162,Estúdio,Belo Horizonte,Zona Leste,114,3,2,3689.68,Não
IMV-0163,Casa,Porto Alegre,Zona Norte,37,2,2,1620.13,Não
IMV-0164,Casa,Porto Alegre,Zona Norte,93,2,2,3881.89,Sim
IMV-0165,Estúdio,São Paulo,Zona Oeste,33,2,2,1293.89,Não
IMV-0166,Casa,Salvador,Zona Leste,285,2,1,3553.02,Não
IMV-0167,Casa,Rio de Janeiro,Zona Sul,198,4,1,684.89,Sim
IMV-0168,Apartamento,Rio de Janeiro,Centro,148,3,1,3986.71,Sim
IMV-0169,Casa,Belo Horizonte,Zona Sul,99,3,1,4894.65,Sim
IMV-0170,Apartamento,Salvador,Zona Oeste,269,2,1,2079.88,Não
IMV-0171,Estúdio,Porto Alegre,Zona Leste,58,4,2,1290.25,Sim
IMV-0172,Apartamento,São Paulo,Zona Oeste,158,1,1,2176.78,Sim
IMV-0173,Estúdio,Belo Horizonte,Zona Oeste,176,1,2,724.44,Sim
IMV-0174,Apartamento,São Paulo,Zona Norte,106,3,2,4012.95,Não
IMV-0175,Casa,Porto Alegre,Centro,71,1,2,4200.37,Não
IMV-0176,Casa,Rio de Janeiro,Zona Leste,86,1,1,2367.83,Não
IMV-0177,Estúdio,Salvador,Zona Oeste,43,1,2,3572.64,Sim
IMV-0178,Casa,São Paulo,Zona Leste,162,3,1,3502.47,Sim
IMV-0179,Casa,São Paulo,Centro,148,1,2,794.46,Não
IMV-0180,Estúdio,Salvador,Zona Oeste,135,2,1,2740.3,Sim
IMV-0181,Casa,São Paulo,Zona Leste,198,1,2,722.46,Não
IMV-0182,Casa,Belo Horizonte,Zona Leste,124,4,1,3923.4,Sim
IMV-0183,Apartamento,Belo Horizonte,Zona Oeste,71,4,2,4698.11,Não
IMV-0184,Estúdio,Porto Alegre,Centro,272,4,2,522.77,Sim
IMV-0185,Casa,Salvador,Zona Oeste,184,3,1,2943.74,Não
IMV-0186,Estúdio,Belo Horizonte,Zona Norte,30,2,1,1320.6,Sim
IMV-0187,Apartamento,Porto Alegre,Zona Norte,213,4,1,4468.74,Não
IMV-0188,Casa,Porto Alegre,Zona Sul,242,1,2,3784.72,Não
IMV-0189,Casa,Rio de Janeiro,Zona Oeste,146,2,1,3876.67,Não
IMV-0190,Casa,Belo Horizonte,Zona Sul,48,3,1,2790.3,Não
IMV-0191,Apartamento,Porto Alegre,Zona Sul,199,2,1,1794.7,Sim
IMV-0192,Apartamento,Rio de Janeiro,Centro,45,4,2,2952.06,Sim
IMV-0193,Apartamento,São Paulo,Zona Leste,129,2,2,3787.13,Sim
IMV-0194,Estúdio,São Paulo,Zona Sul,39,2,2,4451.65,Não
IMV-0195,Apartamento,Porto Alegre,Zona Leste,118,3,2,4892.36,Sim
IMV-0196,Casa,Porto Alegre,Zona Oeste,49,3,1,783.83,Sim
IMV-0197,Casa,São Paulo,Zona Norte,294,2,1,2427.47,Sim
IMV-0198,Estúdio,Salvador,Centro,131,2,2,805.29,Não
IMV-0199,Apartamento,Salvador,Zona Sul,175,2,1,4344.3,Não
IMV-0200,Estúdio,Salvador,Zona Norte,82,3,2,928.46,Sim
IMV-0201,Apartamento,Porto Alegre,Centro,216,2,1,670.72,Sim
IMV-0202,Apartamento,Belo Horizonte,Zona Leste,133,3,2,4834.47,Não
IMV-0203,Estúdio,Salvador,Zona Sul,216,2,1,4119.14,Sim
IMV-0204,Casa,São Paulo,Zona Oeste,264,1,2,2354.58,Sim
IMV-0205,Casa,Rio de Janeiro,Centro,225,1,1,4313.95,Não
IMV-0206,Apartamento,Porto Alegre,Zona Sul,285,3,2,4460.44,Sim
IMV-0207,Casa,São Paulo,Zona Sul,132,3,1,805.55,Sim
IMV-0208,Estúdio,São Paulo,Zona Oeste,195,3,1,2725.95,Sim
IMV-0209,Casa,São Paulo,Zona Sul,150,3,2,2867.51,Sim
IMV-0210,Apartamento,Salvador,Zona Norte,276,2,1,3075.89,Sim
IMV-0211,Casa,Rio de Janeiro,Zona Norte,147,2,2,4597.45,Não
IMV-0212,Estúdio,Belo Horizonte,Zona Sul,92,4,1,1933.1,Sim
IMV-0213,Apartamento,Porto Alegre,Zona Norte,87,2,1,2182.39,Sim
IMV-0214,Apartamento,Salvador,Zona Leste,265,2,1,1668.68,Sim
IMV-0215,Apartamento,Salvador,Zona Leste,270,1,2,3003.58,Sim
IMV-0216,Apartamento,São Paulo,Centro,162,2,1,3058.84,Sim
IMV-0217,Estúdio,Belo Horizonte,Zona Oeste,203,1,1,3093.93,Não
IMV-0218,Estúdio,Salvador,Zona Leste,195,2,2,970.15,Sim
IMV-0219,Estúdio,São Paulo,Zona Oeste,170,4,2,4969.19,Sim
IMV-0220,Estúdio,Salvador,Zona Leste,210,2,1,1913.04,Sim
IMV-0221,Casa,Salvador,Zona Leste,290,4,2,1490.28,Não
IMV-0222,Apartamento,São Paulo,Zona Norte,249,3,1,876.94,Sim
IMV-0223,Estúdio,Rio de Janeiro,Zona Sul,114,4,2,2351.67,Não
IMV-0224,Casa,Salvador,Zona Norte,213,4,1,1909.84,Não
IMV-0225,Estúdio,Porto Alegre,Zona Leste,30,2,2,3262.39,Não
IMV-0226,Apartamento,Porto Alegre,Centro,89,3,2,2245.07,Não
IMV-0227,Casa,Porto Alegre,Zona Norte,165,2,2,2736.34,Não
IMV-0228,Casa,Rio de Janeiro,Centro,40,1,1,1854.32,Sim
IMV-0229,Casa,Porto Alegre,Zona Oeste,77,4,2,3312.73,Sim
IMV-0230,Estúdio,São Paulo,Zona Norte,202,2,1,1648.36,Sim
IMV-0231,Apartamento,Belo Horizonte,Zona Norte,287,3,2,3376.7,Sim
IMV-0232,Casa,Porto Alegre,Centro,188,4,1,3881.56,Não
IMV-0233,Casa,Porto Alegre,Zona Sul,127,4,2,3144.6,Sim
IMV-0234,Estúdio,Salvador,Zona Oeste,184,2,2,2635.82,Não
IMV-0235,Apartamento,Belo Horizonte,Zona Oeste,221,3,2,1525.91,Não
IMV-0236,Casa,Porto Alegre,Centro,231,2,2,859.85,Não
IMV-0237,Apartamento,Porto Alegre,Zona Sul,123,4,2,2589.47,Não
IMV-0238,Casa,Porto Alegre,Zona Oeste,68,1,1,4738.84,Sim
IMV-0239,Apartamento,Belo Horizonte,Zona Oeste,40,1,1,2199.2,Não
IMV-0240,Estúdio,Salvador,Centro,91,1,1,665.85,Não
IMV-0241,Estúdio,São Paulo,Zona Oeste,36,1,1,2750.85,Não
IMV-0242,Estúdio,São Paulo,Zona Sul,30,3,1,1938.91,Sim
IMV-0243,Apartamento,Porto Alegre,Zona Norte,231,2,1,4471.4,Não
IMV-0244,Casa,São Paulo,Zona Oeste,158,1,2,1561.24,Não
IMV-0245,Apartamento,São Paulo,Zona Sul,42,2,1,858.03,Sim
IMV-0246,Casa,Belo Horizonte,Centro,222,2,2,2475.1,Sim
IMV-0247,Apartamento,Salvador,Zona Sul,242,1,1,860.95,Sim
IMV-0248,Estúdio,Porto Alegre,Zona Oeste,211,4,2,3024.03,Sim
IMV-0249,Apartamento,Porto Alegre,Zona Sul,43,4,1,4759.86,Não
IMV-0250,Estúdio,São Paulo,Zona Leste,173,4,2,4419.76,Sim
IMV-0251,Estúdio,São Paulo,Zona Leste,183,1,1,2204.21,Não
IMV-0252,Casa,Belo Horizonte,Zona Oeste,188,4,2,2900.68,Sim
IMV-0253,Casa,Salvador,Zona Oeste,154,2,2,2642.28,Não
IMV-0254,Casa,Salvador,Zona Oeste,42,3,2,4567.73,Sim
IMV-0255,Estúdio,Porto Alegre,Zona Sul,150,2,2,2568.07,Sim
IMV-0256,Casa,São Paulo,Centro,162,2,1,4724.65,Sim
IMV-0257,Casa,Salvador,Zona Sul,274,3,1,2645.62,Sim
IMV-0258,Apartamento,Porto Alegre,Zona Norte,141,1,1,4154.94,Não
IMV-0259,Estúdio,Salvador,Zona Leste,190,1,1,3841.68,Não
IMV-0260,Apartamento,Salvador,Zona Leste,183,4,1,4649.33,Sim
IMV-0261,Casa,Rio de Janeiro,Zona Sul,143,3,1,1209.74,Sim
IMV-0262,Estúdio,Porto Alegre,Zona Sul,82,1,1,1469.37,Sim
IMV-0263,Estúdio,Salvador,Zona Leste,157,4,1,1379.05,Sim
IMV-0264,Apartamento,Porto Alegre,Zona Norte,75,4,2,1315.35,Não
IMV-0265,Apartamento,Belo Horizonte,Zona Norte,232,2,2,1010.21,Não
IMV-0266,Estúdio,São Paulo,Zona Leste,220,1,1,2365.67,Não
IMV-0267,Estúdio,Porto Alegre,Zona Oeste,182,2,2,3318.19,Não
IMV-0268,Casa,Porto Alegre,Zona Sul,215,3,1,1444.75,Não
IMV-0269,Apartamento,Rio de Janeiro,Zona Norte,198,3,1,3422.16,Sim
IMV-0270,Apartamento,Rio de Janeiro,Centro,245,2,2,3755.57,Não
IMV-0271,Casa,Salvador,Zona Sul,172,3,1,904.17,Sim
IMV-0272,Apartamento,Rio de Janeiro,Zona Norte,137,1,2,3088.64,Sim
IMV-0273,Casa,São Paulo,Zona Sul,163,2,2,3177.12,Sim
IMV-0274,Casa,Belo Horizonte,Zona Oeste,163,4,2,1059.59,Não
IMV-0275,Apartamento,Porto Alegre,Centro,46,4,2,1113.18,Não
IMV-0276,Apartamento,São Paulo,Centro,186,1,2,2705.81,Não
IMV-0277,Casa,Salvador,Centro,166,2,1,1588.57,Sim
IMV-0278,Apartamento,Belo Horizonte,Zona Sul,280,3,1,786.58,Sim
IMV-0279,Estúdio,São Paulo,Zona Sul,170,1,1,2517.93,Não
IMV-0280,Casa,São Paulo,Zona Sul,44,2,1,3554.53,Não
IMV-0281,Estúdio,Salvador,Centro,44,2,2,729.36,Sim
IMV-0282,Estúdio,Rio de Janeiro,Zona Norte,247,2,1,871.12,Não
IMV-0283,Estúdio,Salvador,Zona Norte,239,4,2,3588.08,Sim
IMV-0284,Estúdio,Belo Horizonte,Zona Leste,219,2,1,1029.63,Não
IMV-0285,Casa,São Paulo,Zona Oeste,94,4,1,3317.23,Não
IMV-0286,Casa,Porto Alegre,Zona Leste,52,4,1,4577.94,Sim
IMV-0287,Apartamento,Salvador,Zona Leste,224,4,1,3110.89,Não
IMV-0288,Casa,Rio de Janeiro,Zona Norte,30,3,1,3426.42,Sim
IMV-0289,Casa,Salvador,Zona Oeste,285,1,1,4121.17,Não
IMV-0290,Estúdio,Belo Horizonte,Zona Leste,80,3,1,3797.9,Não
IMV-0291,Estúdio,Rio de Janeiro,Zona Norte,220,1,1,2824.77,Sim
IMV-0292,Estúdio,Salvador,Zona Norte,249,1,2,1908.38,Não
IMV-0293,Estúdio,Salvador,Zona Norte,266,1,1,1526.01,Sim
IMV-0294,Estúdio,Salvador,Zona Oeste,115,4,1,4778.64,Não
IMV-0295,Apartamento,Rio de Janeiro,Zona Leste,283,3,1,3383.76,Sim
IMV-0296,Apartamento,Rio de Janeiro,Centro,98,4,2,584.86,Sim
IMV-0297,Apartamento,Belo Horizonte,Zona Sul,229,1,2,2248.6,Não
IMV-0298,Casa,Belo Horizonte,Zona Norte,227,1,1,3164.02,Não
IMV-0299,Apartamento,Rio de Janeiro,Centro,266,4,1,1162.7,Sim
IMV-0300,Casa,Porto Alegre,Zona Leste,294,1,2,4539.77,Sim
IMV-0301,Apartamento,Rio de Janeiro,Centro,79,1,1,1776.89,Sim
IMV-0302,Casa,Porto Alegre,Zona Leste,254,1,2,1082.69,Não
IMV-0303,Casa,Salvador,Zona Oeste,274,3,1,3284.83,Sim
IMV-0304,Casa,Salvador,Zona Norte,131,1,2,3103.84,Não
IMV-0305,Estúdio,Salvador,Zona Norte,205,4,1,4850.36,Sim
IMV-0306,Casa,São Paulo,Zona Norte,85,2,1,3998.96,Não
IMV-0307,Estúdio,São Paulo,Zona Oeste,218,3,1,4818.33,Não
IMV-0308,Casa,Rio de Janeiro,Zona Leste,226,2,2,4749.89,Sim
IMV-0309,Estúdio,Belo Horizonte,Zona Norte,214,3,1,3965.07,Sim
IMV-0310,Apartamento,Porto Alegre,Zona Leste,257,3,1,567.6,Sim
IMV-0311,Apartamento,Belo Horizonte,Zona Oeste,167,1,1,3755.57,Não
IMV-0312,Casa,São Paulo,Zona Leste,252,3,2,815.68,Não
IMV-0313,Apartamento,Porto Alegre,Zona Oeste,50,1,1,1757.46,Não
IMV-0314,Casa,São Paulo,Centro,292,3,2,1691.56,Não
IMV-0315,Casa,Belo Horizonte,Zona Oeste,252,2,2,3493.79,Não
IMV-0316,Casa,Rio de Janeiro,Zona Leste,243,4,1,4230.36,Sim
IMV-0317,Casa,Belo Horizonte,Centro,34,3,1,704.04,Sim
IMV-0318,Apartamento,Salvador,Zona Sul,33,2,1,2826.39,Sim
IMV-0319,Casa,Salvador,Zona Oeste,137,3,2,1303.77,Sim
IMV-0320,Apartamento,Salvador,Zona Oeste,35,1,2,4663.99,Sim
IMV-0321,Apartamento,Salvador,Centro,218,4,2,2531.43,Não
IMV-0322,Casa,Belo Horizonte,Zona Leste,178,2,2,2611.94,Não
IMV-0323,Apartamento,Belo Horizonte,Zona Leste,96,4,1,4003.11,Sim
IMV-0324,Casa,Porto Alegre,Zona Sul,184,2,2,2505.83,Sim
IMV-0325,Casa,Belo Horizonte,Centro,133,4,2,759.6,Não
IMV-0326,Estúdio,Porto Alegre,Zona Norte,150,3,1,1646.04,Sim
IMV-0327,Apartamento,Belo Horizonte,Zona Oeste,254,3,1,2976.29,Sim
IMV-0328,Apartamento,Rio de Janeiro,Zona Oeste,108,1,1,1751.46,Sim
IMV-0329,Casa,Rio de Janeiro,Zona Leste,83,1,1,3570.48,Não
IMV-0330,Estúdio,Salvador,Zona Sul,207,1,1,1319.14,Não
IMV-0331,Casa,São Paulo,Zona Leste,258,2,1,3647.06,Sim
IMV-0332,Apartamento,Porto Alegre,Zona Sul,280,3,2,2523.42,Sim
IMV-0333,Apartamento,Salvador,Zona Oeste,231,2,1,3106.0,Sim
IMV-0334,Casa,Salvador,Zona Oeste,69,1,1,2619.3,Não
IMV-0335,Apartamento,Porto Alegre,Zona Sul,294,2,1,2769.72,Não
IMV-0336,Apartamento,São Paulo,Zona Sul,230,4,1,2906.82,Não
IMV-0337,Apartamento,Porto Alegre,Zona Oeste,189,3,2,645.25,Sim
IMV-0338,Estúdio,Salvador,Zona Norte,45,4,2,1064.82,Sim
IMV-0339,Casa,Salvador,Zona Leste,83,1,1,2971.13,Sim
